,coords,weight,point_type
526,"(46.2851704, -96.0969878)",40,Child Care
527,"(45.1881492, -93.1080139)",66,Child Care
528,"(45.15565309999999, -93.6692981)",60,Child Care
529,"(45.26581969999999, -92.9746598)",40,Child Care
530,"(44.8240267, -93.348255)",56,Child Care
531,"(45.1328789, -94.5233456)",40,Child Care
532,"(44.3091982, -94.4803784)",93,Child Care
533,"(44.9633808, -93.2620732)",70,Child Care
534,"(44.7301756, -93.1459049)",158,Child Care
535,"(45.0265378, -93.4798783)",166,Child Care
536,"(43.6763913, -93.0012328)",198,Child Care
537,"(45.1299455, -94.5166943)",151,Child Care
538,"(44.9503634, -93.0945302)",42,Child Care
539,"(44.0547115, -91.6873828)",62,Child Care
540,"(47.7299866, -94.5427727)",50,Child Care
541,"(44.8753624, -93.3526918)",148,Child Care
542,"(43.64083429999999, -94.1026564)",35,Child Care
543,"(45.2357679, -93.403366)",60,Child Care
544,"(45.08927389999999, -93.3971057)",80,Child Care
545,"(45.0711467, -93.2152877)",20,Child Care
546,"(44.3258932, -93.955691)",157,Child Care
547,"(44.969904, -93.1253489)",63,Child Care
548,"(45.3981763, -92.979868)",27,Child Care
549,"(43.9728887, -92.4614339)",14,Child Care
550,"(45.971174, -94.8632508)",25,Child Care
551,"(44.8637046, -93.3585916)",45,Child Care
552,"(44.790291, -93.5982767)",17,Child Care
553,"(44.0166607, -91.8595)",20,Child Care
554,"(45.1540634, -93.3600066)",129,Child Care
555,"(44.790291, -93.5982767)",24,Child Care
